variant,Totalvalue,Vrijstand,waterPieces,waterarea
60,23829556.07,298.4831339,3,"[2970, 7484, 8746]"
60,23726374.49,303.6109401,3,"[6922, 10314, 1964]"
60,23691657.52,301.0856747,3,"[10981, 7163, 1056]"
60,23686613.12,292.0848204,3,"[14654, 2479, 2067]"
60,23592714.55,304.7025943,3,"[12499, 5565, 1136]"
60,23580957.43,287.1762205,1,[19200]
60,23571733.23,305.0931669,3,"[13574, 2095, 3531]"
60,23558482.61,286.1795106,1,[19200]
60,23557136.62,290.8465293,4,"[822, 9957, 3013, 5408]"
60,23556702.92,285.6084219,1,[19200]
60,23552718.75,299.5949032,3,"[5623, 12355, 1222]"
60,23550673.4,283.4584165,2,"[12912, 6288]"
60,23549044.75,287.6254921,3,"[3410, 11480, 4310]"
60,23545470.68,284.0350205,3,"[18566, 423, 211]"
60,23541735.9,281.2637134,2,"[6430, 12770]"
60,23537114.36,285.0876373,3,"[7278, 4891, 7031]"
60,23536054.37,298.9118632,4,"[1865, 12650, 2512, 2173]"
60,23535871.49,304.3640523,3,"[13620, 3739, 1841]"
60,23534800.91,293.6242855,3,"[6994, 5488, 6718]"
60,23531949.61,281.4679934,2,"[16903, 2297]"
60,23529751.32,289.9050377,3,"[8874, 7492, 2834]"
60,23525921.11,296.5902836,3,"[4657, 350, 14193]"
60,23525332.37,273.3543603,4,"[5710, 2404, 3134, 7952]"
60,23523978.71,283.5366468,3,"[1548, 9697, 7955]"
60,23518510.34,291.7384298,2,"[7476, 11724]"
60,23513829.73,306.1368281,4,"[11973, 2873, 811, 3543]"
60,23511939.21,302.3710481,3,"[14566, 2068, 2566]"
60,23511030,285.5,4,"[15852, 354, 1025, 1969]"
60,23509187.02,290.9117533,1,[19200]
60,23508408.02,280.6350036,2,"[11563, 7637]"
60,23503896.71,293.2676058,4,"[4418, 6350, 6194, 2238]"
60,23503022.42,297.6977887,1,[19200]
60,23501051.16,294.6106016,3,"[8524, 5562, 5114]"
60,23500219.65,293.7361926,1,[19200]
60,23498445.16,305.1695301,2,"[6529, 12671]"
60,23493923.95,284.9504851,4,"[5179, 339, 9219, 4463]"
60,23492902.41,280.7087506,1,[19200]
60,23492479.08,303.6379029,3,"[17304, 1657, 239]"
60,23492404.92,265.4624294,3,"[2812, 8796, 7592]"
60,23491980.53,274.1103532,3,"[12810, 6061, 329]"
60,23491372.9,298.710787,3,"[6353, 7848, 4999]"
60,23490579.23,299.3391662,2,"[14498, 4702]"
60,23488533.54,301.7520081,3,"[9664, 4120, 5416]"
60,23487023.01,287.7015285,1,[19200]
60,23484438.55,291.9322918,1,[19200]
60,23484198.19,288.8600226,4,"[17226, 1511, 415, 48]"
60,23481401.06,290.9183137,2,"[11249, 7951]"
60,23478825.76,280.553747,3,"[1120, 15427, 2653]"
60,23478120.34,286.5784214,2,"[1907, 17293]"
60,23474358.87,291.459152,3,"[9450, 6369, 3381]"
60,23474115,287,2,"[3045, 16155]"
60,23471796.75,281.4761153,2,"[19000, 200]"
60,23468072.04,279.0326408,1,[19200]
60,23467433.92,278.0764732,2,"[7281, 11919]"
60,23467320.71,287.3692909,3,"[18433, 282, 485]"
60,23465046.26,282.3825923,3,"[17996, 86, 1118]"
60,23464171.63,279.7199405,1,[19200]
60,23461451.1,288.460415,2,"[12605, 6595]"
60,23456775.83,286.9918867,3,"[14284, 44, 4872]"
60,23456632.29,282.8833706,2,"[7677, 11523]"
60,23454836.09,296.7999943,3,"[3350, 857, 14993]"
60,23453713.06,286.7079933,2,"[14996, 4204]"
