variant,Totalvalue,Vrijstand,waterPieces,waterarea
60,23054015.75,263.86103842335893,3,"[14249, 1230, 3721]"
40,15933801.39,218.14303071607006,4,"[17430, 147, 1023, 600]"
20,8690135.39,155.770329614269,4,"[14351, 1003, 610, 3236]"
60,22988580.120000005,265.5571428037275,2,"[8481, 10719]"
40,16018871.069999998,227.01357479609587,3,"[15590, 2413, 1197]"
20,8815713.99,186.2046368630959,3,"[2496, 11648, 5056]"
60,23321600.729999997,288.5446403728903,3,"[7876, 242, 11082]"
40,16457629.21,252.9017542509914,4,"[10377, 5534, 171, 3118]"
20,8456055.6,147.26498204307083,4,"[60, 10830, 7832, 478]"
60,23088491.990000002,271.8030161863162,3,"[18476, 323, 401]"
40,15846550.000000002,220.62489557742236,1,[19200]
20,8457438.629999999,144.06225774829855,3,"[12829, 6366, 5]"
60,23355839.79,284.2596456914235,3,"[3959, 9034, 6207]"
40,16065759.92,230.7029142769557,4,"[5259, 2663, 8031, 3247]"
20,8063014.300000001,129.13416066227643,3,"[530, 11053, 7617]"
60,23037039.88,270.6406422248715,3,"[13011, 4992, 1197]"
40,16125500.670000002,225.6886833372768,2,"[7815, 11385]"
20,8928334.049999999,175.50120570691774,1,[19200]
60,23030395.299999997,270.7727299199522,2,"[2252, 16948]"
40,17044998.82,282.6728227303897,2,"[8913, 10287]"
20,8450537.46,158.0145471545348,3,"[2513, 507, 16180]"
60,23024294.82,261.2851608677187,1,[19200]
40,16227357.739999998,246.1064996151839,4,"[6283, 819, 6733, 5365]"
20,8222238.010000001,133.9989839423434,3,"[8911, 91, 10198]"
60,23587496.13,295.1589105316382,3,"[7828, 5568, 5804]"
40,16204458.870000001,230.6245118001729,4,"[16770, 1593, 748, 89]"
20,9051773.090000002,193.13758882677408,1,[19200]
60,23312120.34,279.02072659253724,4,"[9468, 4685, 67, 4980]"
40,15955010.800000003,228.7350774402595,2,"[865, 18335]"
20,8903555.100000001,183.37640581862823,4,"[11548, 864, 2936, 3852]"
60,22838514.939999998,256.3941445222837,4,"[14242, 637, 1600, 2721]"
40,15760624.080000004,213.32663855830194,1,[19200]
20,8695921.5,163.3422505507397,1,[19200]
60,22996725.879999995,259.9825037463211,3,"[18103, 853, 244]"
40,16024766.780000001,219.0680439045368,2,"[16201, 2999]"
20,8673773.5,166.7915652817004,1,[19200]
60,22901946.72,256.8020434638219,2,"[4850, 14350]"
40,15900103.2,225.4152927704209,4,"[10952, 534, 6468, 1246]"
20,8924637.129999999,183.67108619302178,4,"[12505, 3589, 1408, 1698]"
60,23046329.85,267.1176292676655,3,"[15670, 1804, 1726]"
40,16179362.430000002,241.96422892194886,3,"[15377, 1475, 2348]"
20,8962710.08,178.8228162015404,1,[19200]
60,22929115.060000002,260.7280669216394,3,"[6923, 3396, 8881]"
40,15580098.81,189.03553390593274,2,"[16243, 2957]"
20,9110836.32,184.00626687579862,4,"[15621, 2067, 970, 542]"
60,23020928.42,259.79467617027433,4,"[2571, 12635, 2942, 1052]"
40,16339873.700000001,245.87497240264838,2,"[5378, 13822]"
20,9055656.91,183.24491586000846,2,"[18999, 201]"
60,23180781.919999998,281.75088698150137,1,[19200]
40,16454766.84,250.5469165561229,1,[19200]
20,8827148.73,165.43119788159868,3,"[15492, 2311, 1397]"
60,23145050.59,272.84868949201297,1,[19200]
40,15896072.18,220.91226198141777,2,"[1679, 17521]"
20,9035915.530000001,189.72146265332788,1,[19200]
60,23171846.360000003,274.1511549650305,1,[19200]
40,16124323.299999999,256.7162830088871,3,"[5725, 4640, 8835]"
20,8652476.51,164.8555145763865,3,"[4005, 9569, 5626]"
60,23407614.18,273.60053008620696,2,"[7306, 11894]"
40,15986986.98,222.52268050859362,2,"[3697, 15503]"
20,9155642.04,194.68728331550005,4,"[7068, 2150, 2216, 7766]"
