variant,Totalvalue,Vrijstand,waterPieces,waterarea
60,21840299.97,179.60327780786685,3,"[8712, 3833, 6655]"
40,14533053.81,119.03553390593274,1,[19200]
20,7303710.0,63.0,2,"[4, 19196]"
60,21881258.18,187.18728791134942,4,"[43, 5613, 9002, 4542]"
40,14594765.399999999,123.84367975167221,2,"[3991, 15209]"
20,7290315.0,61.0,1,[19200]
60,21845151.93,181.20156211871642,4,"[18823, 216, 53, 108]"
40,14569026.93,122.20156211871642,2,"[11190, 8010]"
20,7298010.92,62.56232027619343,2,"[3023, 16177]"
60,21827259.54,181.72235940811257,1,[19200]
40,14564096.620000001,122.56217855454526,1,[19200]
20,7283096.18,60.52079728939615,2,"[18789, 411]"
60,21797874.32,177.78416367391657,3,"[13974, 2309, 2917]"
40,14629864.190000001,125.75946473193179,2,"[5399, 13801]"
20,7278630.0,60.5,1,[19200]
60,21799125.0,178.5,1,[19200]
40,14571233.34,121.76498204307083,2,"[8474, 10726]"
20,7322580.0,64.0,3,"[12748, 1313, 5139]"
60,21800038.130000003,178.26612092315912,4,"[7325, 7353, 1861, 2661]"
40,14546153.34,119.26498204307083,1,[19200]
20,7385233.1,66.0415945787923,1,[19200]
60,21854760.0,182.5,3,"[6091, 402, 12707]"
40,14571862.53,122.96654416178725,3,"[10594, 5416, 3190]"
20,7270080.0,59.5,3,"[14441, 3730, 1029]"
60,21838637.29,183.12132034355963,1,[19200]
40,14544435.0,119.5,2,"[8812, 10388]"
20,7296300.0,63.0,2,"[6842, 12358]"
60,21849540.21,181.6686797054681,2,"[7641, 11559]"
40,14592491.67,125.24308510551371,2,"[15068, 4132]"
20,7321950.0,66.0,4,"[9201, 9080, 301, 618]"
60,21821833.759999998,177.47542230980935,3,"[2967, 6920, 9313]"
40,14567311.7,121.27817459305203,1,[19200]
20,7258586.18,58.52079728939615,3,"[14926, 1565, 2709]"
60,21825828.379999995,179.8081638365146,1,[19200]
40,14587889.969999999,122.60327780786685,3,"[6016, 12258, 926]"
20,7336564.58,64.24264068711929,4,"[12147, 5601, 125, 1327]"
60,21799022.29,177.62132034355966,1,[19200]
40,14588864.399999999,124.38527433046451,1,[19200]
20,7315903.3100000005,62.60327780786685,2,"[3307, 15893]"
60,21850709.96,182.36400155666362,2,"[19055, 145]"
40,14543565.759999998,119.76343797651543,1,[19200]
20,7267412.29,59.621320343559645,4,"[18491, 505, 138, 66]"
60,21773475.0,175.5,2,"[14988, 4212]"
40,14541197.29,119.12132034355965,2,"[18758, 442]"
20,7326014.97,63.10327780786685,4,"[7987, 9512, 1097, 604]"
60,21817813.86,179.90312423743285,3,"[19041, 159, 0]"
40,14541930.0,118.0,2,"[18776, 424]"
20,7290959.97,61.60327780786685,1,[19200]
60,21826390.03,180.94464722423015,4,"[15226, 2250, 930, 794]"
40,14544109.67,119.17128189564512,1,[19200]
20,7292655.0,60.5,4,"[14058, 1985, 213, 2944]"
60,21825936.7,179.46654416178725,4,"[9517, 1059, 2999, 5625]"
40,14554316.18,121.02079728939614,3,"[13379, 736, 5085]"
20,7325655.0,66.0,3,"[6851, 4628, 7721]"
60,21820595.29,180.40312423743285,3,"[4821, 2967, 11412]"
40,14542804.579999998,119.74264068711929,4,"[17931, 629, 76, 564]"
20,7302649.58,63.74264068711929,3,"[8785, 697, 9718]"
60,21844894.71,181.64480079466415,1,[19200]
40,14531691.93,118.70156211871642,2,"[8824, 10376]"
20,7266375.0,59.5,2,"[7769, 11431]"
60,21819930.0,180.5,3,"[6189, 10306, 2705]"
40,14604938.31,125.36825985093769,3,"[6143, 1508, 11549]"
20,7318400.29,62.90312423743285,4,"[1048, 7253, 994, 9905]"
60,21805854.32,178.28416367391657,4,"[5881, 5845, 386, 7088]"
40,14578635.0,123.5,2,"[18267, 933]"
20,7286189.9399999995,60.706555615733706,1,[19200]
60,21812879.97,177.60327780786685,4,"[16806, 2273, 106, 15]"
40,14635776.93,126.20156211871642,1,[19200]
20,7274925.0,60.5,4,"[4543, 3935, 5619, 5103]"
60,21856091.18,183.02079728939614,2,"[16104, 3096]"
40,14558297.659999998,120.54914571698741,1,[19200]
20,7336453.9,64.52680436103587,3,"[716, 13841, 4643]"
60,21870090.0,185.5,2,"[3022, 16178]"
40,14546591.509999998,120.44420280583572,4,"[5455, 12034, 281, 1430]"
20,7280134.58,60.24264068711929,2,"[6009, 13191]"
60,21806441.5,178.36856875105912,2,"[15224, 3976]"
40,14570362.03,120.66284333035694,2,"[1140, 18060]"
20,7377492.19,69.20796416401612,1,[19200]
60,21799592.29,178.12132034355963,2,"[7630, 11570]"
40,14569024.579999998,123.24264068711929,2,"[17369, 1831]"
20,7325085.0,65.5,2,"[9330, 9870]"
60,21861325.04,184.923921526829,4,"[2871, 9738, 6051, 540]"
40,14552489.969999999,120.10327780786685,1,[19200]
20,7353015.0,64.0,1,[19200]
60,21896896.259999998,186.08942733397552,4,"[2400, 11884, 1827, 3089]"
40,14561235.759999998,122.26343797651543,1,[19200]
20,7317770.29,64.90312423743285,1,[19200]
60,21885255.0,186.5,1,[19200]
40,14532095.440000001,117.34809960866042,2,"[4797, 14403]"
20,7302094.74,63.54152298679729,3,"[14090, 2322, 2788]"
60,21819827.29,179.62132034355966,3,"[16363, 277, 2560]"
40,14672616.9,129.30483992658327,4,"[8147, 439, 9417, 1197]"
20,7322235.0,63.0,3,"[4080, 828, 14292]"
60,21873700.879999995,185.48633139480916,1,[19200]
40,14575595.29,123.40312423743285,1,[19200]
20,7303607.29,62.121320343559645,2,"[16339, 2861]"
60,21801690.0,177.5,4,"[13323, 5371, 352, 154]"
40,14565240.0,121.5,2,"[3995, 15205]"
20,7317105.0,65.0,3,"[9308, 1370, 8522]"
60,21843381.93,182.20156211871642,1,[19200]
40,14527608.11,117.72235940811257,2,"[18787, 413]"
20,7293181.68,60.02996408614167,2,"[2656, 16544]"
60,21809393.82,178.1278434255888,2,"[17209, 1991]"
40,14622031.159999998,126.93522309068655,2,"[3337, 15863]"
20,7346473.1,64.5415945787923,2,"[19106, 94]"
60,21853701.93,182.20156211871642,2,"[9637, 9563]"
40,14564274.869999997,121.64576492455214,1,[19200]
20,7362084.779999999,70.12456896039187,2,"[9403, 9797]"
60,21820199.06,179.82568666071384,4,"[15271, 900, 1513, 1516]"
40,14572262.29,123.62132034355965,4,"[12401, 3769, 1736, 1294]"
20,7307848.47,62.642117632955795,3,"[535, 11249, 7416]"
60,21780665.99,175.02724877943027,4,"[8447, 510, 8194, 2049]"
40,14558591.18,121.52079728939614,1,[19200]
20,7331449.74,66.54152298679729,3,"[11942, 3014, 4244]"
60,21872430.0,185.0,2,"[13879, 5321]"
40,14555325.0,120.0,1,[19200]
20,7270462.36,58.5415945787923,2,"[11161, 8039]"
60,21854130.0,184.5,2,"[15407, 3793]"
40,14542453.36,119.70156211871642,1,[19200]
20,7319479.74,62.54152298679729,3,"[18942, 164, 94]"
60,21810810.0,179.0,3,"[5500, 9320, 4380]"
40,14558867.29,121.62132034355965,4,"[8476, 334, 1950, 8440]"
20,7312890.0,62.0,3,"[6037, 6417, 6746]"
60,21829573.83,180.5064020452997,3,"[12180, 6256, 764]"
40,14561432.29,120.62132034355965,1,[19200]
20,7273785.0,59.5,1,[19200]
60,21823668.489999995,180.44723479965316,1,[19200]
40,14553970.04,119.42392152682899,1,[19200]
20,7288380.0,60.0,2,"[4371, 14829]"
60,21785139.22,175.82288246227606,2,"[17192, 2008]"
40,14545111.219999999,119.76810842854253,2,"[1611, 17589]"
20,7320712.45,63.08304597359457,4,"[18545, 282, 24, 349]"
60,21861133.439999998,182.74539544082265,1,[19200]
40,14527335.0,117.5,3,"[9096, 6226, 3878]"
20,7301907.1,62.08311756558958,3,"[16983, 1572, 645]"
60,21806535.0,178.5,1,[19200]
40,14547925.04,119.92392152682899,1,[19200]
20,7291329.16,61.98528137423858,1,[19200]
60,21789324.32,176.78416367391657,2,"[11611, 7589]"
40,14588510.420000002,124.09186510126162,4,"[7088, 9561, 892, 1659]"
20,7298674.74,60.54152298679729,3,"[17934, 702, 564]"
60,21840165.0,182.0,4,"[13886, 987, 1310, 3017]"
40,14581192.03,123.66284333035694,2,"[15816, 3384]"
20,7307008.86,63.90312423743285,2,"[17583, 1617]"
60,21878237.89,186.88630238663046,4,"[2274, 128, 3901, 12897]"
40,14630204.059999999,128.82568666071387,3,"[5669, 6534, 6997]"
20,7266266.67,58.743085105513714,3,"[8217, 6910, 4073]"
60,21852775.04,183.923921526829,3,"[3766, 14319, 1115]"
40,14558839.549999999,120.84591849498614,1,[19200]
20,7307037.95,62.30463791832254,1,[19200]
60,21816692.29,180.12132034355966,2,"[506, 18694]"
40,14558521.459999999,121.44464722423014,1,[19200]
20,7308555.0,64.0,2,"[13880, 5320]"
60,21798439.71,176.64480079466415,2,"[18252, 948]"
40,14582910.0,124.0,3,"[17249, 1157, 794]"
20,7287180.0,61.5,2,"[1480, 17720]"
60,21805665.759999998,178.76343797651543,2,"[5523, 13677]"
40,14570655.0,123.0,4,"[10213, 3658, 1921, 3408]"
20,7326034.74,65.04152298679729,2,"[19116, 84]"
60,21869355.0,183.0,2,"[14052, 5148]"
40,14670996.69,132.784608092311,3,"[5272, 11500, 2428]"
20,7290531.130000001,61.68307494956453,1,[19200]
60,21834436.799999997,181.84732704326856,1,[19200]
40,14558755.02,122.04152298679729,2,"[10408, 8792]"
20,7314216.6899999995,64.784608092311,2,"[5849, 13351]"
60,21810232.03,179.66284333035694,2,"[4729, 14471]"
40,14635980.0,129.0,4,"[13350, 852, 3443, 1555]"
20,7316432.29,63.621320343559645,2,"[7217, 11983]"
60,21826933.86,181.40312423743285,1,[19200]
40,14561627.939999998,121.94420280583572,1,[19200]
20,7274355.0,60.0,4,"[11313, 1570, 5000, 1317]"
60,21776691.93,175.70156211871642,3,"[11269, 3023, 4908]"
40,14568673.36,123.20156211871642,2,"[11732, 7468]"
20,7382639.380000001,69.284608092311,2,"[10775, 8425]"
60,21814670.47,178.90823877117955,2,"[13623, 5577]"
40,14575772.509999998,123.50781059358212,4,"[3739, 11807, 652, 3002]"
20,7317960.0,62.5,2,"[11442, 7758]"
60,21811388.34,177.76498204307083,4,"[2079, 6068, 209, 10844]"
40,14610618.8,124.7299845473775,1,[19200]
20,7301036.67,63.243085105513714,1,[19200]
60,21842066.18,183.02079728939614,3,"[9187, 711, 9302]"
40,14529979.579999998,118.24264068711929,2,"[3646, 15554]"
20,7270080.0,59.5,2,"[19016, 184]"
60,21806133.049999997,178.38475832007506,1,[19200]
40,14603715.0,126.0,3,"[9157, 3024, 7019]"
20,7282291.28,60.06155281280883,3,"[12266, 6474, 460]"
60,21785999.06,175.82568666071384,1,[19200]
40,14555994.159999996,119.98528137423858,2,"[3086, 16114]"
20,7270650.0,60.0,4,"[15869, 759, 1402, 1170]"
60,21772905.369999997,174.42782537342774,3,"[17644, 1226, 330]"
40,14555542.03,120.66284333035694,2,"[2205, 16995]"
20,7370460.0,67.0,1,[19200]
60,21806235.759999998,179.2634379765154,1,[19200]
40,14575719.35,121.40312423743285,4,"[288, 5700, 5429, 7783]"
20,7310848.36,64.70156211871642,3,"[5976, 3629, 9595]"
60,21809751.93,178.70156211871642,3,"[145, 13826, 5229]"
40,14519904.219999999,117.32288246227607,4,"[1771, 15044, 138, 2247]"
20,7292655.0,60.5,3,"[16787, 1330, 1083]"
60,21774623.34,174.76498204307083,2,"[17404, 1796]"
40,14588908.36,124.70156211871642,3,"[4600, 3050, 11550]"
20,7312260.0,64.0,2,"[2285, 16915]"
60,21790500.97,175.86396103067892,1,[19200]
40,14549644.579999998,119.24264068711929,4,"[4364, 6939, 3676, 4221]"
20,7376866.08,67.16892199399166,3,"[12512, 6066, 622]"
60,21830934.32,180.78416367391657,1,[19200]
40,14563875.0,121.0,2,"[13542, 5658]"
20,7314283.03,65.10327780786685,4,"[634, 1826, 9728, 7012]"
60,21863435.56,184.3696683992201,2,"[5945, 13255]"
40,14539563.87,119.48579738462801,1,[19200]
20,7289254.58,61.74264068711929,2,"[15121, 4079]"
60,21856919.1,183.44450550258196,3,"[1826, 1954, 15420]"
40,14545472.29,119.62132034355965,4,"[206, 5795, 2644, 10555]"
20,7283475.0,61.5,3,"[6591, 4890, 7719]"
60,21816944.619999997,180.16656221394825,1,[19200]
40,14592090.0,123.0,3,"[6377, 2720, 10103]"
20,7354663.86,67.40312423743285,1,[19200]
60,21820967.29,180.62132034355966,2,"[3550, 15650]"
40,14526480.92,118.06232027619343,1,[19200]
20,7318875.0,64.0,2,"[12187, 7013]"
60,21841668.810000002,180.53553390593274,3,"[13526, 5145, 529]"
40,14589422.29,123.12132034355965,1,[19200]
20,7321380.0,65.5,1,[19200]
60,21796706.58,176.00876182534304,1,[19200]
40,14536728.11,119.22235940811257,4,"[4422, 7317, 5690, 1771]"
20,7301775.0,62.0,4,"[8984, 600, 52, 9564]"
60,21778173.57,175.18287315636846,4,"[18602, 58, 505, 35]"
40,14610241.799999999,126.84732704326856,2,"[10261, 8939]"
20,7282095.76,58.76343797651544,2,"[72, 19128]"
60,21803541.93,177.20156211871642,1,[19200]
40,14579452.47,123.16227766016839,1,[19200]
20,7262100.0,59.0,1,[19200]
60,21819249.32,180.28416367391657,1,[19200]
40,14553555.0,121.0,4,"[10440, 1926, 3892, 2942]"
20,7396068.21,69.91074696762297,2,"[16579, 2621]"
60,21831862.799999997,180.08297584394143,1,[19200]
40,14592090.0,123.0,3,"[534, 4321, 14345]"
20,7278630.0,60.5,4,"[14637, 922, 1096, 2545]"
60,21798555.0,178.0,2,"[15573, 3627]"
40,14665620.0,129.0,4,"[6810, 7461, 87, 4842]"
20,7270650.0,60.0,2,"[2693, 16507]"
