variant,Totalvalue,Vrijstand,waterPieces,waterarea
60,25382804.74,427.5989233085823,4,"[17614, 256, 159, 1171]"
40,18530132.61,390.7969014487848,4,"[9707, 5507, 908, 3078]"
20,11205280.76,325.54160895649136,3,"[862, 17568, 770]"
60,25414771.03,417.17669265262634,4,"[14875, 3593, 526, 206]"
40,18927128.39,408.84840348088795,3,"[981, 9959, 8260]"
20,10977497.72,322.7003184681076,2,"[8538, 10662]"
60,25249990.880000003,414.9750057481191,4,"[11937, 1495, 769, 4999]"
40,18339471.35,385.98267167393595,1,[19200]
20,11513188.170000002,336.5137864019175,3,"[17693, 37, 1470]"
60,25186294.45,403.66940116592997,3,"[8649, 9830, 721]"
40,18158929.939999998,385.7005134214952,2,"[4611, 14589]"
20,10763208.379999999,311.9986406098213,4,"[9157, 561, 2415, 7067]"
60,24996955.11,416.01956422612557,2,"[10008, 9192]"
40,18493577.39,386.51731089591516,2,"[4128, 15072]"
20,11298169.41,321.76181704948624,3,"[3764, 3267, 12169]"
60,25299223.82,393.40512483795334,2,"[14574, 4626]"
40,18863252.23,403.69023066321483,3,"[2121, 15978, 1101]"
20,10979272.6,329.6324248136945,1,[19200]
60,25356526.98,405.0342347938506,1,[19200]
40,18437287.519999996,384.70068867716816,4,"[17822, 327, 1046, 5]"
20,10225073.55,264.4022509600586,2,"[18329, 871]"
60,25108716.24,410.12135558912047,2,"[16844, 2356]"
40,18303544.61,383.5353635309241,1,[19200]
20,11022130.01,327.85397106618433,4,"[13280, 5071, 755, 94]"
60,25350483.04,394.1151088885778,4,"[2517, 3062, 2472, 11149]"
40,18483146.04,374.0940351614645,3,"[16622, 232, 2346]"
20,11263238.3,325.93417961716676,3,"[11307, 7535, 358]"
60,25205619.37,402.38890442089934,2,"[8469, 10731]"
40,18522200.439999998,392.6197719804732,3,"[7119, 3914, 8167]"
20,10666575.899999999,312.8933238965071,4,"[17877, 601, 488, 234]"
60,25692981.62,432.13861015015004,4,"[1289, 9156, 2943, 5812]"
40,18421751.6,394.73275923453565,1,[19200]
20,11352437.259999998,323.57175231140207,2,"[15306, 3894]"
60,25121012.060000002,413.4514561458541,4,"[11027, 2441, 68, 5664]"
40,18501489.18,374.244706188439,4,"[897, 3496, 11636, 3171]"
20,11041435.97,327.8541684272908,1,[19200]
60,24772358.56,384.8835345435915,4,"[12003, 2542, 3684, 971]"
40,18039491.52,363.83816821366037,4,"[12563, 4750, 1261, 626]"
20,11112384.5,301.2865309298788,2,"[17419, 1781]"
60,25055615.790000003,410.0568890145614,4,"[6660, 5147, 1055, 6338]"
40,18498377.8,379.9091148801211,3,"[3802, 5183, 10215]"
20,10661366.379999999,278.0491419955043,4,"[16361, 2103, 401, 335]"
60,25051444.21,389.17916713801156,3,"[16099, 2946, 155]"
40,18279168.730000004,383.718506090197,4,"[7212, 6668, 3410, 1910]"
20,11132438.709999999,315.8442257693659,3,"[9993, 7610, 1597]"
60,25273974.740000002,408.3623817976234,4,"[99, 7386, 4422, 7293]"
40,18675163.290000003,387.56914777426294,4,"[15285, 1416, 1147, 1352]"
20,10967024.499999998,337.84906316795195,2,"[3111, 16089]"
